Coffee Consumption in the US,
,
Date,Thousand Units (Bags of 60 kg)
2019,26865.66
2018,26514.33
2017,26183.00
2016,25243.00
2015,24438.00
2014,23767.00
2013,23417.00
2012,22231.66
2011,22043.89
2010,21783.46
2009,21435.97
2008,21652.43
2007,21033.27
2006,20667.38
2005,20997.55
2004,20972.76
2003,20192.68
2002,19124.51
2001,19553.65
2000,18745.56
1999,19359.43
1998,18603.80
1997,17795.45
1996,18059.00
1995,17362.87
1994,17326.10
1993,19217.14
1992,18290.45
1991,18661.18
1990,18297.62
,
Source: International Coffee Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/united-states-coffee-consumption,
